hotel,is_canceled,lead_time,,,arrival_date_week_number,,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,,reserved_room_type,customer_type,adr,total_of_special_requests
Resort Hotel,0,68,,,27,,0,4,2,0,0,BB,,D,Transient,97,3
Resort Hotel,0,14,,,27,,0,2,2,0,0,BB,,A,Transient,98,1
Resort Hotel,0,10,,,27,,0,2,2,2,0,BB,,G,Transient,153,0
Resort Hotel,0,9,,,27,,0,1,2,0,0,BB,,C,Transient,94.71,0
Resort Hotel,0,51,,,28,,1,3,2,0,0,BB,,G,Transient,117.81,2
Resort Hotel,0,51,,,28,,1,3,3,0,0,BB,,G,Transient,117.81,2
Resort Hotel,0,98,,,28,,1,1,2,0,0,BB,,D,Transient,87.3,1
Resort Hotel,0,88,,,28,,0,4,3,0,0,HB,,D,Transient,150,1
Resort Hotel,0,10,,,28,,0,1,2,0,0,BB,,A,Transient,131,0
Resort Hotel,0,42,,,29,,1,2,2,0,0,BB,,D,Transient,110,0
Resort Hotel,0,7,,,29,,0,1,2,2,0,BB,,C,Transient,169,1
Resort Hotel,0,70,,,31,,0,1,2,1,0,BB,,D,Transient,114.85,1
Resort Hotel,0,110,,,31,,2,8,2,0,0,BB,,A,Transient,90.95,1
Resort Hotel,0,5,,,32,,2,1,2,0,0,BB,,D,Transient,157.59,1
Resort Hotel,0,34,,,33,,2,2,2,0,0,BB,,D,Transient,211,1
Resort Hotel,0,30,,,33,,1,2,2,0,0,BB,,A,Transient,211,0
Resort Hotel,0,2,,,33,,2,2,2,2,0,BB,,G,Transient,242.5,0
Resort Hotel,0,0,,,34,,0,1,1,0,0,BB,,G,Transient,200,0
Resort Hotel,0,4,,,36,,0,4,2,0,0,BB,,D,Transient,154.25,0
Resort Hotel,0,25,,,36,,1,1,2,0,0,BB,,E,Transient,139.5,1
Resort Hotel,0,119,,,39,,0,2,2,0,0,BB,,A,Transient,56.98,1
Resort Hotel,0,69,,,41,,1,1,2,0,0,HB,,A,Transient,88,1
Resort Hotel,0,130,,,42,,0,2,2,0,0,BB,,F,Transient,98.4,0
Resort Hotel,0,2,,,44,,0,2,1,0,0,BB,,A,Transient,35.1,1
Resort Hotel,0,25,,,44,,0,2,2,0,0,BB,,A,Transient,56,0
Resort Hotel,0,54,,,44,,0,1,2,0,0,BB,,A,Transient,38.81,1
Resort Hotel,0,11,,,45,,0,1,1,0,0,BB,,A,Transient,44.1,1
Resort Hotel,0,23,,,3,,0,1,2,0,0,BB,,E,Transient,48,0
Resort Hotel,1,44,,,19,,2,3,2,0,0,BB,,E,Transient,95,0
Resort Hotel,1,54,,,20,,0,1,2,0,0,BB,,D,Transient,86,0
Resort Hotel,1,46,,,22,,1,0,1,0,0,BB,,D,Transient,90,0
Resort Hotel,1,18,,,22,,0,2,2,2,0,BB,,G,Transient,139,1
Resort Hotel,1,18,,,22,,0,2,2,2,0,BB,,G,Transient,145,1
Resort Hotel,1,34,,,23,,0,3,1,0,0,BB,,F,Transient,145,0
Resort Hotel,1,3,,,26,,0,1,2,0,0,HB,,E,Transient,171,0
Resort Hotel,1,24,,,28,,0,2,2,0,0,BB,,A,Transient,171,1
Resort Hotel,1,22,,,28,,2,1,2,0,0,BB,,H,Transient,224,0
Resort Hotel,1,114,,,30,,1,3,2,2,0,BB,,G,Transient,240,0
Resort Hotel,1,114,,,30,,1,3,2,0,0,BB,,E,Transient,207,0
Resort Hotel,1,114,,,30,,1,3,2,0,0,BB,,E,Transient,207,0
Resort Hotel,1,114,,,30,,2,3,2,2,0,BB,,G,Transient,240,0
Resort Hotel,1,114,,,30,,2,3,2,0,0,BB,,E,Transient,207,0
Resort Hotel,1,114,,,30,,2,3,2,0,0,BB,,E,Transient,207,0
Resort Hotel,1,22,,,31,,0,2,2,0,0,BB,,F,Transient,209.1,0
Resort Hotel,1,91,,,33,,2,3,3,1,0,BB,,H,Transient,273,0
Resort Hotel,1,22,,,33,,1,3,2,0,0,BB,,A,Transient,231,0
Resort Hotel,1,22,,,33,,1,3,2,0,0,BB,,A,Transient,219,0
Resort Hotel,1,77,,,34,,0,2,2,0,0,BB,,E,Transient,214,0
Resort Hotel,1,26,,,34,,1,1,3,1,0,BB,,H,Transient,304,0
Resort Hotel,1,123,,,36,,2,3,2,0,0,BB,,E,Transient,189.8,0
Resort Hotel,1,124,,,36,,1,3,2,0,0,BB,,E,Transient,188.5,0
Resort Hotel,0,542,,,40,,3,7,2,0,0,SC,,A,Transient-Party,22.4,0
Resort Hotel,1,36,,,40,,0,2,2,2,0,BB,,G,Transient,169,0
Resort Hotel,1,69,,,40,,0,1,2,0,0,BB,,E,Transient,139,0
Resort Hotel,1,139,,,49,,1,3,2,0,0,BB,,E,Transient,55.8,0
Resort Hotel,1,135,,,49,,1,3,2,0,0,BB,,E,Transient,55.8,1
Resort Hotel,1,75,,,50,,0,5,2,0,0,BB,,A,Transient,37.8,0
Resort Hotel,1,76,,,52,,1,1,2,0,0,BB,,G,Transient,73.8,2
Resort Hotel,1,40,,,7,,2,3,2,0,0,BB,,A,Transient,48,0
Resort Hotel,1,40,,,7,,2,3,2,0,0,BB,,A,Transient,48,0
Resort Hotel,1,73,,,8,,2,1,2,0,0,BB,,A,Transient,42,0
Resort Hotel,1,211,,,10,,0,1,1,0,0,BB,,A,Transient,33.3,0
Resort Hotel,1,133,,,11,,1,0,2,0,0,BB,,A,Transient,42,2
Resort Hotel,1,255,,,14,,1,0,2,0,0,BB,,A,Transient,54,2
Resort Hotel,1,192,,,14,,2,5,2,0,0,BB,,D,Transient,68.57,1
Resort Hotel,1,55,,,15,,1,2,2,0,0,BB,,A,Transient,98.33,0
Resort Hotel,1,28,,,16,,0,2,2,0,0,BB,,D,Transient,100,1
Resort Hotel,1,16,,,17,,1,1,2,0,0,BB,,D,Transient,111,0
Resort Hotel,1,94,,,18,,0,2,2,0,0,BB,,E,Transient,115,2
Resort Hotel,1,7,,,19,,0,2,1,0,0,BB,,A,Transient,85,1
Resort Hotel,1,7,,,19,,0,2,2,0,0,BB,,A,Transient,85,1
Resort Hotel,1,201,,,19,,1,1,2,0,0,BB,,A,Transient,76.5,1
Resort Hotel,1,201,,,19,,1,1,2,0,0,BB,,A,Transient,76.5,1
Resort Hotel,1,201,,,19,,1,1,2,0,0,BB,,A,Transient,76.5,1
Resort Hotel,1,259,,,21,,2,2,2,2,0,BB,,G,Transient,130,0
Resort Hotel,1,16,,,21,,0,3,2,1,0,BB,,F,Transient,190,0
Resort Hotel,1,2,,,22,,1,1,2,0,0,BB,,A,Transient,120,1
Resort Hotel,1,12,,,24,,0,3,2,0,0,HB,,E,Transient,202,1
