is_canceled,hotel,lead_time,arrival_date_week_number,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,reserved_room_type,customer_type,adr,total_of_special_requests,stays_in_night,total
0,0,68,27,0,4,2,0,0,0,3,2,0.01588117352689701,3,4,2
0,0,14,27,0,2,2,0,0,0,0,2,0.016044896965318627,1,2,2
0,0,10,27,0,2,2,2,0,0,6,2,0.025049686078507653,0,2,4
0,0,9,27,0,1,2,0,0,0,2,2,0.0155062468529115,0,1,2
0,0,51,28,1,3,2,0,0,0,6,2,0.01928825828045089,2,4,2
0,0,51,28,1,3,3,0,0,0,6,2,0.01928825828045089,2,4,3
0,0,98,28,1,1,2,0,0,0,3,2,0.01429305617420731,1,2,2
0,0,88,28,0,4,3,0,0,1,3,2,0.0245585157632428,1,4,3
0,0,10,28,0,1,2,0,0,0,0,2,0.021447770433232042,0,1,2
0,0,42,29,1,2,2,0,0,0,3,2,0.01800957822637805,0,3,2
0,0,7,29,0,1,2,2,0,0,2,2,0.02766926109325355,1,1,4
0,0,70,31,0,1,2,1,0,0,3,2,0.0188036369027229,1,1,3
0,0,110,31,2,8,2,0,0,0,0,2,0.014890646724446215,1,10,2
0,0,5,32,2,1,2,0,0,0,3,2,0.02580117666086288,1,3,2
0,0,34,33,2,2,2,0,0,0,3,2,0.03454564550696153,1,4,2
0,0,30,33,1,2,2,0,0,0,0,2,0.03454564550696153,0,3,2
0,0,2,33,2,2,2,2,0,0,6,2,0.03970293381724252,0,4,4
0,0,0,34,0,1,1,0,0,0,6,2,0.03274468768432373,0,1,1
0,0,4,36,0,4,2,0,0,0,3,2,0.025254340376534675,0,4,2
0,0,25,36,1,1,2,0,0,0,4,2,0.0228394196598158,1,2,2
0,0,119,39,0,2,2,0,0,0,0,2,0.00932896152126383,1,2,2
0,0,69,41,1,1,2,0,0,1,0,2,0.01440766258110244,1,2,2
0,0,130,42,0,2,2,0,0,0,5,2,0.016110386340687274,0,2,2
0,0,2,44,0,2,1,0,0,0,0,2,0.0057466926885988145,1,2,1
0,0,25,44,0,2,2,0,0,0,0,2,0.009168512551610645,0,2,2
0,0,54,44,0,1,2,0,0,0,0,2,0.006354106645143021,1,1,2
0,0,11,45,0,1,1,0,0,0,0,2,0.007220203634393381,1,1,1
0,0,23,3,0,1,2,0,0,0,4,2,0.007858725044237696,0,1,2
1,0,44,19,2,3,2,0,0,0,4,2,0.015553726650053772,0,5,2
1,0,54,20,0,1,2,0,0,0,3,2,0.014080215704259203,0,1,2
1,0,46,22,1,0,1,0,0,0,3,2,0.014735109457945678,0,1,1
1,0,18,22,0,2,2,2,0,0,6,2,0.02275755794060499,1,2,4
1,0,18,22,0,2,2,2,0,0,6,2,0.023739898571134704,1,2,4
1,0,34,23,0,3,1,0,0,0,5,2,0.023739898571134704,0,3,1
1,0,3,26,0,1,2,0,0,1,4,2,0.027996707970096787,0,1,2
1,0,24,28,0,2,2,0,0,0,0,2,0.027996707970096787,1,2,2
1,0,22,28,2,1,2,0,0,0,7,2,0.03667405020644258,0,3,2
1,0,114,30,1,3,2,2,0,0,6,2,0.03929362522118848,0,4,4
1,0,114,30,1,3,2,0,0,0,4,2,0.033890751753275064,0,4,2
1,0,114,30,1,3,2,0,0,0,4,2,0.033890751753275064,0,4,2
1,0,114,30,2,3,2,2,0,0,6,2,0.03929362522118848,0,5,4
1,0,114,30,2,3,2,0,0,0,4,2,0.033890751753275064,0,5,2
1,0,114,30,2,3,2,0,0,0,4,2,0.033890751753275064,0,5,2
1,0,22,31,0,2,2,0,0,0,5,2,0.03423457097396046,0,2,2
1,0,91,33,2,3,3,1,0,0,7,2,0.04469649868910189,0,5,4
1,0,22,33,1,3,2,0,0,0,0,2,0.037820114275393904,0,4,2
1,0,22,33,1,3,2,0,0,0,0,2,0.035855433014334484,0,4,2
1,0,77,34,0,2,2,0,0,0,4,2,0.03503681582222639,0,2,2
1,0,26,34,1,1,3,1,0,0,7,2,0.04977192528017207,0,2,4
1,0,123,36,2,3,2,0,0,0,4,2,0.03107470861242322,0,5,2
1,0,124,36,1,3,2,0,0,0,4,2,0.030861868142475112,0,4,2
0,0,542,40,3,7,2,0,0,2,0,3,0.003667405020644258,0,10,2
1,0,36,40,0,2,2,2,0,0,6,2,0.02766926109325355,0,2,4
1,0,69,40,0,1,2,0,0,0,4,2,0.02275755794060499,0,1,2
1,0,139,49,1,3,2,0,0,0,4,2,0.00913576786392632,0,4,2
1,0,135,49,1,3,2,0,0,0,4,2,0.00913576786392632,1,4,2
1,0,75,50,0,5,2,0,0,0,0,2,0.0061887459723371846,0,5,2
1,0,76,52,1,1,2,0,0,0,6,2,0.012082789755515456,2,2,2
1,0,40,7,2,3,2,0,0,0,0,2,0.007858725044237696,0,5,2
1,0,40,7,2,3,2,0,0,0,0,2,0.007858725044237696,0,5,2
1,0,73,8,2,1,2,0,0,0,0,2,0.006876384413707983,0,3,2
1,0,211,10,0,1,1,0,0,0,0,2,0.0054519904994399,0,1,1
1,0,133,11,1,0,2,0,0,0,0,2,0.006876384413707983,2,1,2
1,0,255,14,1,0,2,0,0,0,0,2,0.008841065674767406,2,1,2
1,0,192,14,2,5,2,0,0,0,3,2,0.011226516172570391,1,7,2
1,0,55,15,1,2,2,0,0,0,0,2,0.016098925699997758,0,3,2
1,0,28,16,0,2,2,0,0,0,3,2,0.016372343842161866,1,2,2
1,0,16,17,1,1,2,0,0,0,3,2,0.01817330166479967,0,2,2
1,0,94,18,0,2,2,0,0,0,4,2,0.018828195418486144,2,2,2
1,0,7,19,0,2,1,0,0,0,0,2,0.013916492265837584,1,2,1
1,0,7,19,0,2,2,0,0,0,0,2,0.013916492265837584,1,2,2
1,0,201,19,1,1,2,0,0,0,0,2,0.012524843039253828,1,2,2
1,0,201,19,1,1,2,0,0,0,0,2,0.012524843039253828,1,2,2
1,0,201,19,1,1,2,0,0,0,0,2,0.012524843039253828,1,2,2
1,0,259,21,2,2,2,2,0,0,6,2,0.021284046994810426,0,4,4
1,0,16,21,0,3,2,1,0,0,5,2,0.031107453300107543,0,3,3
